"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BZ1","1","Buzzer","","","","Buzzer_Beeper:Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm","~"
"C1,C4","2","10u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2,C3","2","0.1u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1","1","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"D2","1","IR_LED","","","","LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_Clear","~"
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","pn532","","","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"J4","1","cc1101","","","","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~"
"Q2","1","PZT2222A","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://www.onsemi.com/pub/Collateral/PN2222-D.PDF"
"R1,R2","2","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3,R4","2","5.1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R5","1","220","","","","Resistor_SMD:R_0805_2012Metric","~"
"R6","1","100","","","","Resistor_SMD:R_0805_2012Metric","~"
"SW1","1","reset","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"SW2","1","boot","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"U1","1","ESP32-S3-WROOM-1","","","","PCM_Espressif:ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf"
"U2","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U3","1","TSOP382xx","","","","OptoDevice:Vishay_MINICAST-3Pin","http://www.vishay.com/docs/82491/tsop382.pdf"
